SEGMENT,DEPTH(feet),HEADING(deg mag),SPEED(knots),TIME EXIT(minutes),CUM TIME(minutes)
1,75,25,2,10,10
2,75,25,3,10,20
3,150,70,4,10,30
4,150,70,5,10,40
5,225,115,6,10,50
6,225,115,7,10,60
7,300,160,8,10,70
8,300,160,9,10,80
9,375,205,10,10,90
10,375,205,9.5,10,100
11,450,250,8.5,10,110
12,450,250,7.5,10,120
13,525,295,6.5,10,130
14,525,295,5.5,10,140
15,600,340,4.5,10,150
16,600,340,3.5,10,160
17,525,25,2.5,10,170
18,525,25,2,10,180
19,450,70,3,10,180
20,450,70,4,10,180
21,75,115,5,10,180
22,75,205,6,10,180